epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,116.416,0.92561,4.84769,0.01361,0.71148,0.58806,0.68209,0.47852,0.99876,1.02981,0.01934,0.009875,0.00329167,0.009875,0.00329167,0.0769583,0.070375,0.009875,0.00329167
2,196.064,0.86018,0.75179,0.0128,0.7541,0.62284,0.69303,0.47096,1.10607,1.03777,0.02222,0.0197438,0.00658128,0.0197438,0.00658128,0.0534938,0.0403313,0.0197438,0.00658128
3,274.461,0.90607,0.73275,0.0138,0.70116,0.56882,0.65425,0.43142,1.22835,1.17306,0.02442,0.0294806,0.00982688,0.0294806,0.00982688,0.0298973,0.0102436,0.0294806,0.00982688
4,353.561,0.97954,0.7934,0.01475,0.76515,0.64275,0.70011,0.44618,1.30418,1.04136,0.02814,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,433.159,0.9231,0.68493,0.0136,0.74979,0.77552,0.81185,0.51694,1.16864,0.71031,0.02317,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,513.123,0.88532,0.64469,0.0128,0.86125,0.79688,0.87203,0.56448,1.12203,0.62078,0.02433,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,592.459,0.86093,0.60672,0.0119,0.82917,0.82142,0.87952,0.58922,1.06209,0.6055,0.02011,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,672.249,0.84387,0.57374,0.01163,0.82771,0.73681,0.82936,0.55906,1.05222,0.88011,0.02025,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,750.582,0.8431,0.57238,0.01116,0.87775,0.87678,0.90524,0.61862,1.07193,0.46989,0.02005,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,830.223,0.79398,0.5327,0.01108,0.91505,0.80647,0.89483,0.62876,0.96887,0.50376,0.01718,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,909.072,0.78381,0.51421,0.01061,0.91145,0.86503,0.9276,0.64462,1.06568,0.54028,0.02078,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,986.232,0.79029,0.49227,0.01069,0.8563,0.82471,0.8863,0.61725,1.02249,0.50261,0.01868,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1063.58,0.78491,0.50121,0.01072,0.93112,0.81031,0.90854,0.62188,1.01565,0.50219,0.01942,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1140.81,0.77718,0.47583,0.0102,0.85237,0.85119,0.90424,0.63348,0.99629,0.54683,0.01766,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1219.22,0.76292,0.48289,0.00981,0.93064,0.9005,0.94965,0.68135,0.88374,0.39667,0.01416,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1298.64,0.74843,0.44609,0.00975,0.94131,0.90074,0.94777,0.66443,0.95424,0.41953,0.01817,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1378.16,0.73633,0.44866,0.00975,0.92871,0.90285,0.94592,0.66982,0.94599,0.43845,0.01574,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1457.57,0.73173,0.42964,0.00947,0.93912,0.83933,0.91656,0.65458,0.92059,0.48489,0.01512,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1536.4,0.73405,0.43345,0.00938,0.90038,0.91567,0.9404,0.68709,0.887,0.41487,0.01501,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1615.32,0.74591,0.42621,0.00949,0.94095,0.88414,0.94048,0.66924,0.88877,0.38082,0.01478,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1693.29,0.70523,0.38875,0.009,0.9503,0.89208,0.94135,0.68386,0.9183,0.36723,0.01495,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1770.58,0.7188,0.41781,0.009,0.95326,0.90305,0.94393,0.68286,0.88937,0.38395,0.01564,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1847.84,0.70003,0.39298,0.00889,0.95082,0.89217,0.9467,0.691,0.87539,0.41549,0.01401,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,1925.99,0.70461,0.39722,0.0089,0.94325,0.87782,0.94551,0.67682,0.92255,0.40959,0.01637,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,2004.11,0.69974,0.40279,0.00863,0.92742,0.90994,0.95166,0.69552,0.87917,0.36696,0.01407,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,2081.8,0.68969,0.38405,0.0089,0.96182,0.89214,0.94578,0.69526,0.85241,0.36098,0.01287,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,2160.34,0.67188,0.37489,0.00852,0.93664,0.84378,0.91518,0.665,0.89833,0.4995,0.01608,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,2239.26,0.68462,0.37498,0.00876,0.92001,0.92267,0.94529,0.69705,0.87196,0.37546,0.01399,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,2318.31,0.68115,0.36105,0.00852,0.93798,0.88338,0.93958,0.69474,0.90475,0.37202,0.01598,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,2395.96,0.66698,0.35925,0.00831,0.95498,0.91266,0.96138,0.70269,0.85644,0.34244,0.01404,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,2475.23,0.66316,0.35094,0.00841,0.95064,0.91612,0.94657,0.69906,0.83105,0.36315,0.01292,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,2554.75,0.64932,0.35521,0.00833,0.95017,0.89476,0.95186,0.69751,0.86798,0.38635,0.01448,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2634.3,0.65734,0.35128,0.00816,0.94023,0.92687,0.95483,0.70857,0.8152,0.33015,0.01214,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2712.96,0.64045,0.34354,0.00786,0.91141,0.9111,0.94941,0.70193,0.84323,0.34662,0.01292,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2790.48,0.64215,0.33495,0.00785,0.96023,0.90969,0.95351,0.71444,0.82291,0.31954,0.01258,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,2869.86,0.62597,0.32474,0.00786,0.97263,0.90206,0.95349,0.70726,0.84885,0.33633,0.01398,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,2949.48,0.62766,0.32145,0.0075,0.96014,0.89314,0.94756,0.69376,0.84914,0.34877,0.01354,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,3027.81,0.62596,0.32951,0.00752,0.98273,0.9024,0.96009,0.70976,0.8319,0.37339,0.01336,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,3107.08,0.62886,0.3202,0.00759,0.95299,0.92214,0.951,0.69759,0.825,0.32897,0.01301,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
